;0;1;2
0;110.36620962680809;0.0;80.0
1;94.3765980115254;10.893331927699727;80.0
2;82.24089680192947;21.583741692561944;80.0
3;81.9216443744449;31.872087187699314;80.0
4;67.75111033813573;41.56671600283468;80.0
5;56.325816383693564;50.48703554608422;80.0
6;49.92977494975412;58.46687714224992;80.0
7;46.04101468356339;65.35759144083536;80.0
8;34.66564096701768;71.03081747219002;80.0
9;31.802152314974137;75.38087376950563;80.0
10;31.04697250832669;78.32672701458583;80.0
11;34.069045234966325;79.81350153524313;80.0
12;30.87089838129441;79.81350153524313;80.0
13;31.46893190230321;78.32672701458583;80.0
14;35.31858891617276;75.38087376950564;80.0
15;36.74347066239807;71.03081747219002;80.0
16;41.13884246535736;65.35759144083536;80.0
17;48.42055520453505;58.46687714224994;80.0
18;57.11953545944834;50.487035546084236;80.0
19;66.96143412178117;41.56671600283471;80.0
20;78.07983237392227;31.872087187699343;80.0
21;87.01395755227031;21.583741692561944;80.0
22;97.72950342747981;10.893331927699732;80.0
23;109.14351958147745;9.797174393178826e-15;80.0
